name,symbol,price_usd,change,Volume_M,market_cap_B,pe_ratio
"Coeur Mining, Inc.",CDE,9.28,-0.12,7.897,5.936,32.0
Weyerhaeuser Company,WY,26.47,0.79,8.891,19.107,69.66
Blue Owl Capital Inc.,OWL,20.02,-0.29,8.932,30.99,125.13
Hewlett Packard Enterprise Company,HPE,20.73,0.22,6.724,27.202,19.93
Lam Research Corporation,LRCX,96.96,-0.82,8.914,124.023,27.01
WeRide Inc.,WRD,10.34,0.02,8.814,2.942,
CRH plc,CRH,100.06,2.89,8.79,67.306,21.24
Sunrun Inc.,RUN,10.78,0.2,8.775,2.463,
"Coinbase Global, Inc.",COIN,391.66,-5.04,8.643,99.758,73.48
Vertiv Holdings Co,VRT,137.47,6.6,8.221,52.391,79.92
The Kraft Heinz Company,KHC,28.68,-0.1,8.522,33.944,13.1
EQT Corporation,EQT,52.19,-1.84,8.471,32.57,27.47
"Conagra Brands, Inc.",CAG,19.21,-0.09,6.942,9.172,8.0
Strategy Incorporated,MSTR,405.89,-9.03,8.38,115.091,
Microchip Technology Incorporated,MCHP,69.21,1.4,8.355,37.351,
"Pinnacle Financial Partners, Inc.",PNFP,91.56,-12.6,8.345,7.096,12.18
"Meta Platforms, Inc.",META,712.68,-2.12,8.272,1792.0,27.85
Union Pacific Corporation,UNP,224.74,4.22,8.254,133.281,19.53
U.S. Bancorp,USB,46.32,0.26,8.082,72.168,11.08
Equinox Gold Corp.,EQX,6.39,0.03,7.902,4.823,9.0
"NextEra Energy, Inc.",NEE,71.85,-0.12,8.066,147.96,25.03
ON Semiconductor Corporation,ON,56.92,1.48,8.073,23.786,39.53
Permian Resources Corporation,PR,13.78,0.16,7.01,11.022,8.4
F.N.B. Corporation,FNB,15.64,0.05,7.958,5.617,12.12
Unity Software Inc.,U,32.77,-0.57,7.929,13.622,
Western Digital Corporation,WDC,68.82,-0.2,7.88,24.01,23.57
Chevron Corporation,CVX,154.84,-0.99,7.865,314.825,17.7
The AES Corporation,AES,13.8,0.0,7.837,9.825,7.5
"Fiserv, Inc.",FI,142.03,1.95,7.007,77.207,23.75
International Business Machines Corporation,IBM,259.72,-0.79,7.741,241.934,41.82
"Gilead Sciences, Inc.",GILD,116.2,3.0,7.681,144.545,24.41
The Estée Lauder Companies Inc.,EL,90.4,3.63,6.816,32.522,
Tractor Supply Company,TSCO,59.33,-0.01,7.589,31.457,29.23
STMicroelectronics N.V.,STM,26.32,-0.41,7.558,23.674,38.14
"Peloton Interactive, Inc.",PTON,6.56,0.13,7.54,2.615,
Enovix Corporation,ENVX,14.69,0.26,7.516,2.844,
TMC the metals company Inc.,TMC,7.79,-0.31,7.447,4.065,
"Toast, Inc.",TOST,48.7,0.63,7.211,28.174,180.37
Novo Nordisk A/S,NVO,71.7,0.97,7.343,316.335,19.33
"C3.ai, Inc.",AI,26.01,0.01,7.29,3.495,
Amphenol Corporation,APH,105.02,0.56,5.694,127.032,41.84
Starbucks Corporation,SBUX,94.42,0.72,7.224,107.299,34.33
"NIKE, Inc.",NKE,76.27,0.85,7.145,112.643,35.31
Oracle Corporation,ORCL,245.12,2.29,5.686,688.5,56.48
"Annaly Capital Management, Inc.",NLY,20.86,0.3,6.249,13.394,20.06
GameStop Corp.,GME,23.33,-0.2,6.675,10.436,44.02
Alibaba Group Holding Limited,BABA,120.03,-1.12,6.306,286.802,16.03
BP p.l.c.,BP,32.2,0.07,7.032,83.692,
Texas Instruments Incorporated,TXN,184.99,-0.7,7.032,168.156,35.1
"PepsiCo, Inc.",PEP,143.45,-1.06,7.022,196.395,26.13
Las Vegas Sands Corp.,LVS,52.41,1.62,5.62,37.034,26.47
Shopify Inc.,SHOP,124.43,2.35,6.935,162.253,101.16
eBay Inc.,EBAY,81.43,-1.02,6.919,37.527,19.57
Alcoa Corporation,AA,30.84,-1.02,6.91,7.985,18.58
Lufax Holding Ltd,LU,2.94,-0.41,6.884,2.548,
"PayPal Holdings, Inc.",PYPL,77.98,0.16,6.888,75.838,17.52
Wipro Limited,WIT,2.93,-0.01,6.861,31.42,19.53
"Chewy, Inc.",CHWY,36.31,-0.94,6.823,14.989,39.9
"Delta Air Lines, Inc.",DAL,54.86,0.15,6.81,35.821,7.97
Gentex Corporation,GNTX,27.42,3.82,6.815,6.164,15.49
"Macy's, Inc.",M,13.08,0.38,6.73,3.552,6.61
"SentinelOne, Inc.",S,19.56,0.09,6.696,6.503,
The Goodyear Tire & Rubber Company,GT,10.91,-0.37,6.695,3.117,12.99
Coty Inc.,COTY,5.12,0.17,5.496,4.466,
"Tempus AI, Inc.",TEM,64.49,1.15,6.667,11.164,
"Applied Materials, Inc.",AMAT,185.69,-2.43,6.609,149.016,22.56
Vodafone Group Public Limited Company,VOD,11.43,-0.09,6.52,28.345,
"Triumph Group, Inc.",TGI,26.01,0.16,6.088,2.023,56.54
General Motors Company,GM,53.4,1.06,5.493,50.841,8.15
"Lumen Technologies, Inc.",LUMN,4.33,-0.08,6.478,4.442,
"Medical Properties Trust, Inc.",MPW,4.32,0.02,6.381,2.595,
Takeda Pharmaceutical Company Limited,TAK,14.48,-0.18,6.383,46.478,62.96
"Altria Group, Inc.",MO,59.84,0.23,6.362,100.797,10.04
HP Inc.,HPQ,25.68,-0.01,6.327,24.121,9.88
Truist Financial Corporation,TFC,45.65,0.17,6.278,58.863,12.37
NexGen Energy Ltd.,NXE,7.3,-0.13,5.815,4.18,
Johnson & Johnson,JNJ,168.3,-1.26,6.2,405.324,18.02
Nebius Group N.V.,NBIS,51.37,-0.79,6.238,12.262,
AstraZeneca PLC,AZN,72.66,-1.02,6.202,229.578,29.3
"Coupang, Inc.",CPNG,30.25,0.11,6.057,54.922,216.07
"Avidity Biosciences, Inc.",RNA,36.27,3.06,6.08,4.371,
Valley National Bancorp,VLY,9.43,-0.1,6.059,5.283,12.09
"The Trade Desk, Inc.",TTD,86.14,1.14,6.043,42.116,105.05
Honeywell International Inc.,HON,224.24,-0.24,5.969,142.369,25.51
"Columbia Banking System, Inc.",COLB,24.82,1.47,5.94,5.217,9.85
JPMorgan Chase & Co.,JPM,298.62,2.07,5.912,821.106,15.31
Sandstorm Gold Ltd.,SAND,9.55,-0.02,4.999,2.813,95.5
Boston Scientific Corporation,BSX,106.14,-0.07,4.946,157.029,63.18
Baker Hughes Company,BKR,46.05,0.33,5.87,45.4,15.05
"Confluent, Inc.",CFLT,27.35,0.75,5.82,9.31,
TechnipFMC plc,FTI,36.45,-1.09,4.864,14.982,17.36
The Procter & Gamble Company,PG,158.3,-0.51,4.832,371.141,25.13
Gerdau S.A.,GGB,3.05,-0.05,5.576,5.999,10.52
LKQ Corporation,LKQ,32.17,0.44,5.796,8.277,11.74
"Caesars Entertainment, Inc.",CZR,29.56,0.9,5.786,6.148,
"PENN Entertainment, Inc.",PENN,19.23,1.02,5.786,2.904,
Ovintiv Inc.,OVV,41.43,1.44,5.744,10.649,18.25
"The GEO Group, Inc.",GEO,26.1,1.55,5.379,3.689,118.64
LyondellBasell Industries N.V.,LYB,64.01,3.31,5.73,20.573,22.15
"The Gap, Inc.",GAP,20.66,0.4,5.699,7.708,8.98
FirstEnergy Corp.,FE,41.94,0.54,5.69,24.206,22.31
United Microelectronics Corporation,UMC,7.3,-0.02,5.667,18.565,11.41
Devon Energy Corporation,DVN,32.94,-0.36,5.656,21.151,7.5
The Walt Disney Company,DIS,121.47,-0.48,4.506,218.373,24.79
